iter	Logloss
0	0.6364810418
1	0.5922571965
2	0.5585031292
3	0.5325949994
4	0.5139724003
5	0.4987457925
6	0.4833692322
7	0.4737501211
8	0.4658009476
9	0.454665992
10	0.4444351238
11	0.4402941862
12	0.4237897883
13	0.4205047446
14	0.4122628187
15	0.4100950132
16	0.3939803607
17	0.3921359962
18	0.3849068047
19	0.3832825123
20	0.37318239
21	0.3629852547
22	0.357888802
23	0.3545904104
24	0.3524843367
25	0.3513703762
26	0.3428383165
27	0.3359196251
28	0.3292696429
29	0.3274541193
30	0.3243258274
31	0.3235846998
32	0.3181734545
33	0.3176531199
34	0.3170972662
35	0.3157921896
36	0.3152971976
37	0.3115581482
38	0.308031637
39	0.3063405754
40	0.3047075158
41	0.3025358165
42	0.3022622777
43	0.3016813896
44	0.2971265288
45	0.2965846873
46	0.2954288586
47	0.2931151034
48	0.2926989533
49	0.2923437313
50	0.2921095266
51	0.2919424578
52	0.2911745726
53	0.2888274969
54	0.28733351
55	0.2871564363
56	0.2870057283
57	0.2863440331
58	0.2861898739
59	0.2849120159
60	0.2847093403
61	0.2843291009
62	0.2828704938
63	0.2826516311
64	0.2825241818
65	0.2824250878
66	0.2817786
67	0.2810978918
68	0.2805888297
69	0.2798184407
70	0.279674895
71	0.2795881606
72	0.2787075643
73	0.2778511609
74	0.2771672203
75	0.2770306951
76	0.2769605761
77	0.2766121378
78	0.2763214058
79	0.2762245728
80	0.2761434775
81	0.2759089739
82	0.275836897
83	0.2757536086
84	0.2756697642
85	0.275590871
86	0.2754856391
87	0.2743404575
88	0.2742568055
89	0.2741843319
90	0.2741073302
91	0.2736802086
92	0.2736373529
93	0.2735453883
94	0.2734865775
95	0.2734152621
96	0.2733526848
97	0.2728386871
98	0.2727707342
99	0.2724443098
100	0.2723847806
101	0.2718697843
102	0.2717993802
103	0.2717282695
104	0.2715214995
105	0.2714729522
106	0.2714068424
107	0.271347419
108	0.2712974165
109	0.2711170545
110	0.2710631096
111	0.2709276495
112	0.2707743093
113	0.2707307896
114	0.2702451543
115	0.2702021685
116	0.2701383661
117	0.2699751861
118	0.2698896795
119	0.2698154637
120	0.2693182847
121	0.2690032508
122	0.2689247602
123	0.2688785146
124	0.2688204014
125	0.2687646193
126	0.2687246068
127	0.2686709084
128	0.2683364987
129	0.2682720294
130	0.2681837171
131	0.2678608282
132	0.2678185673
133	0.2677682193
134	0.2677059828
135	0.2676555221
136	0.2672532623
137	0.26719899
138	0.2670637205
139	0.2670166118
140	0.2669674841
141	0.2669255985
142	0.2665603087
143	0.266497283
144	0.2663228815
145	0.2662862882
146	0.2662450467
147	0.2662102894
148	0.2661548031
149	0.26575097
150	0.2657094527
151	0.2656570022
152	0.2656158408
153	0.2655587798
154	0.2655185393
155	0.2654686886
156	0.2653683509
157	0.2653217455
158	0.2651412232
159	0.2651050924
160	0.2649878528
161	0.2649305635
162	0.2648722036
163	0.264754908
164	0.2646973769
165	0.2643871305
166	0.2643070919
167	0.2642547865
168	0.26421662
169	0.2641740141
170	0.2641358142
171	0.2640983059
172	0.2640149257
173	0.2639038025
174	0.2638654949
175	0.2638216785
176	0.2637193723
177	0.2636823101
178	0.2636438626
