ID,Mô hình,Ngày train,Giờ train,MAE,RMSE,R²,Thời gian train
1,DR Learner,2025-03-05,22:26:59,0.0653984820414612,0.101814252295223,0.8361757962539034,1299.46
2,ForestDRLearner,2025-03-05,23:24:14,0.0646912602160124,0.1013870250496663,0.8375477715393241,1837.91
3,SNet-EarlyStop,2025-03-06,01:04:31,0.0661955217676389,0.1041081303322356,0.8287107106691551,207.14
4,DR Learner,2025-03-06,12:13:01,0.0653984820414612,0.101814252295223,0.8361757962539034,2206.8
5,DR Learner,2025-03-06,18:08:52,0.0653984820414612,0.101814252295223,0.8361757962539034,1921.03
6,DR Learner,2025-03-07,16:55:26,0.0654381367782662,0.1018213654927632,0.8361529044759087,21.91
7,DR Learner,2025-03-07,17:15:08,0.0654381367782662,0.1018213654927632,0.8361529044759087,23.06
8,DR Learner,2025-03-07,19:06:09,0.0654381367782662,0.1018213654927632,0.8361529044759087,25.01
9,DR Learner,2025-03-08,20:16:38,0.06543813677826629,0.1018213654927632,0.8361529044759087,24.27
